4547,3166,1
4547,3172,79
4547,3173,714
4547,3174,1013
4547,3175,1
4547,3176,56
4547,3177,2847
4547,3178,93
4547,3186,1
4547,3188,1
4547,3189,3
4547,3201,2
4548,3172,206
4548,3173,1844
4548,3174,2621
4548,3177,2167
4548,3178,13712
4548,3179,45
4548,3190,1
4548,3191,1
4549,3166,1
4549,3168,2
4549,3169,1
4549,3170,1
4549,3171,1
4549,3172,324
4549,3173,1340
4549,3174,12125
4549,3175,563
4549,3177,106
4549,3178,8400
4549,3179,3927
4549,3180,498
4549,3182,85
4549,3183,7120
4549,3184,4322
4549,3190,2
4549,3192,1
4549,3194,1
4549,3200,1
4550,3165,1
4550,3167,1
4550,3172,502
4550,3173,1271
4550,3174,5728
4550,3175,1733
4550,3176,1145
4550,3178,555
4550,3179,200
4550,3180,4606
4550,3181,3044
4550,3182,3488
4550,3183,6645
4550,3184,10235
4550,3185,6838
4550,3190,1
4550,3195,1
4550,3197,2
4550,3200,2
4551,3166,1
4551,3172,155
4551,3173,1945
4551,3174,2804
4551,3175,1471
4551,3176,2291
4551,3177,2
4551,3178,79
4551,3180,4346
4551,3181,1787
4551,3182,3899
4551,3183,3964
4551,3184,6561
4551,3185,4398
4551,3186,1
4551,3190,1
4551,3198,1
4551,3200,3
4551,3254,1
4552,3164,1
4552,3165,1
4552,3171,7
4552,3172,533
4552,3173,2525
4552,3174,1781
4552,3175,1051
4552,3176,1155
4552,3177,1
4552,3178,61
4552,3179,834
4552,3180,1972
4552,3181,1643
4552,3182,3448
4552,3183,1774
4552,3184,2930
4552,3185,4476
4552,3190,1
4552,3202,1
4553,3164,1
4553,3170,1
4553,3171,2
4553,3172,470
4553,3173,1528
4553,3174,1421
4553,3175,3258
4553,3176,2232
4553,3178,4013
4553,3179,3397
4553,3180,3469
4553,3181,4980
4553,3182,3050
4553,3183,5051
4553,3184,6000
4553,3185,6048
4553,3203,2
4553,3204,2
4553,3205,1
4554,3169,6
4554,3171,14
4554,3172,159
4554,3173,1577
4554,3174,3943
4554,3175,3280
4554,3176,11640
4554,3177,2550
4554,3178,160
4554,3179,6032
4554,3180,1615
4554,3181,4939
4554,3182,4285
4554,3183,2918
4554,3184,18319
4554,3185,19891
4554,3188,1
4554,3199,2
4554,3206,1
4554,3208,2
4555,3169,6
4555,3170,27
4555,3171,19
4555,3172,502
4555,3173,3063
4555,3174,1058
4555,3175,2915
4555,3176,10086
4555,3177,3756
4555,3179,3454
4555,3180,2093
4555,3181,6988
4555,3182,8304
4555,3183,4641
4555,3184,9782
4555,3185,13211
4555,3186,1
4555,3190,1
4555,3208,1
4555,3209,1
4555,3210,2
4556,3170,12
4556,3171,39
4556,3172,308
4556,3173,2014
4556,3174,1238
4556,3175,1904
4556,3176,7113
4556,3177,13169
4556,3179,5189
4556,3180,3826
4556,3181,7412
4556,3182,9059
4556,3183,4086
4556,3184,3607
4556,3185,22369
4556,3186,5
4556,3187,1
4556,3190,1
4556,3198,2
4556,3213,1
4556,3264,1
4556,3271,2
4557,3170,31
4557,3171,75
4557,3172,349
4557,3173,4075
4557,3174,2764
4557,3175,3488
4557,3176,3798
4557,3177,3074
4557,3178,1480
4557,3179,2554
4557,3180,6081
4557,3181,10792
4557,3182,9667
4557,3183,4228
4557,3184,10184
4557,3185,11847
4557,3186,1
4557,3197,2
4557,3198,1
4557,3214,2
4557,3215,1
4557,3266,1
4557,3267,1
4558,3171,28
4558,3172,957
4558,3173,3112
4558,3174,2140
4558,3175,2640
4558,3176,5926
4558,3177,4655
4558,3178,13206
4558,3179,2478
4558,3180,7221
4558,3181,11375
4558,3182,10630
4558,3183,2269
4558,3184,7377
4558,3185,2545
4558,3186,1
4558,3187,1
4558,3190,1
4558,3196,1
4558,3197,1
4558,3217,1
4558,3219,1
4558,3269,1
4558,3270,1
4559,3172,823
4559,3173,1705
4559,3174,980
4559,3175,3285
4559,3176,5069
4559,3177,7861
4559,3178,17359
4559,3179,2281
4559,3180,14264
4559,3181,5384
4559,3182,4006
4559,3183,1646
4559,3184,5782
4559,3185,1453
4559,3186,27
4559,3196,2
4560,3171,465
4560,3172,1159
4560,3173,1098
4560,3174,717
4560,3175,779
4560,3176,1516
4560,3177,4322
4560,3178,13622
4560,3179,5717
4560,3180,14153
4560,3181,8145
4560,3182,5443
4560,3183,2684
4560,3184,13525
4560,3185,19692
4560,3187,1
4560,3190,3
4560,3191,1
4560,3196,1
4560,3222,1
4560,3224,1
4561,3167,1
4561,3168,1
4561,3169,1
4561,3171,213
4561,3172,784
4561,3173,1437
4561,3174,1068
4561,3175,1318
4561,3176,2539
4561,3177,6899
4561,3178,9161
4561,3179,18054
4561,3180,35172
4561,3181,12064
4561,3182,2841
4561,3183,4090
4561,3184,3949
4561,3185,27059
4561,3186,2
4561,3189,1
4561,3226,1
4561,3275,1
4562,3167,1
4562,3169,1
4562,3170,2
4562,3171,89
4562,3172,353
4562,3173,5204
4562,3174,1180
4562,3175,545
4562,3176,3935
4562,3177,3545
4562,3178,11253
4562,3179,46183
4562,3180,55762
4562,3181,31911
4562,3182,13912
4562,3183,7604
4562,3184,9884
4562,3185,18498
4562,3186,55
4562,3187,1
4562,3188,1
4562,3191,1
4562,3192,1
4562,3195,1
4562,3228,1
4562,3276,2
4563,3171,142
4563,3172,798
4563,3173,3687
4563,3174,1888
4563,3175,292
4563,3176,5400
4563,3177,6718
4563,3178,18824
4563,3179,26394
4563,3180,50535
4563,3181,25037
4563,3182,11390
4563,3183,9891
4563,3184,3927
